	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
13	.	.	.	.	#	.	.	.	.	.	.	.	.	.	r	.	.	.	.	.	.	.	#	.	#	.	#	#	.	#	.	#	.	.	.	.	.	#	.	.	.	.	.	.	.	#	.	.	.	.
14	.	.	.	.	#	.	#	.	.	.	.	#	.	.	.	.	#	.	.	J	.	.	.	.	.	.	.	.	.	#	.	.	.	.	.	.	.	.	9	.	.	.	#	.	.	.	.	.	.	.
15	#	.	.	7	.	.	K	.	.	#	.	.	.	U	J	.	.	.	.	.	.	.	.	.	.	.	.	.	#	.	.	#	.	.	.	.	.	.	.	.	.	.	.	#	.	.	.	.	.	.
16	.	.	.	.	.	.	0	.	.	#	U	#	.	.	#	.	.	.	#	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	x	.	#	.	.	.	.	.	.	.	.	.	.	#
17	.	.	.	.	.	.	.	#	#	.	.	.	.	.	.	0	#	.	B	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	#	.	x	.	.	.	.	.	.	.	.
18	.	.	#	.	.	.	.	.	.	.	.	.	#	.	.	.	#	.	.	.	.	.	.	k	#	.	.	.	.	Z	.	.	.	.	.	.	.	9	.	.	.	.	.	.	.	.	#	.	.	.
19	.	#	.	#	.	#	#	L	.	.	.	.	.	.	.	#	.	I	.	.	.	.	#	J	.	.	.	.	.	.	.	#	.	.	.	.	#	.	#	#	.	.	.	.	.	.	.	.	.	.
20	.	.	.	.	.	K	#	B	R	.	.	.	.	.	.	.	#	r	.	0	.	#	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
21	.	.	.	.	.	.	.	K	.	B	R	#	.	.	.	.	.	#	.	.	.	.	#	.	.	.	.	.	#	.	#	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
22	.	.	.	.	.	.	.	.	.	#	.	#	#	.	.	.	.	.	h	#	.	.	.	m	.	.	.	.	#	l	.	.	.	.	.	.	#	.	.	.	.	#	.	.	.	.	.	.	.	.
23	#	.	.	.	.	.	.	.	.	#	.	.	.	#	L	.	.	k	.	.	.	.	.	#	.	h	.	.	.	m	.	.	#	.	.	.	.	.	.	.	x	.	.	9	.	.	.	.	.	.
24	.	.	.	.	#	.	.	.	.	.	.	.	.	#	.	.	.	.	.	.	.	.	#	.	Z	.	.	#	.	.	m	.	#	.	.	#	.	.	.	x	O	.	.	.	.	.	.	.	.	.
25	#	.	.	.	#	.	.	.	.	.	#	#	.	#	.	.	.	.	.	.	.	.	#	.	.	.	.	#	.	.	#	#	.	.	.	.	.	.	#	.	.	.	.	.	.	.	.	.	.	.
26	.	6	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	#	.	b	.	.	.	.	.	.	#	.	.	.	.	.	.	.	#	.	#	.	.	.	.	.	.	.	.	.	.	.	.
27	#	.	.	.	.	.	.	#	#	.	.	.	k	.	.	.	#	.	.	.	#	#	#	.	.	.	.	.	.	.	.	Z	.	.	.	.	.	.	#	.	.	.	.	.	.	.	.	#	.	#
28	.	.	.	.	.	.	.	.	4	.	.	#	.	#	o	.	.	.	.	.	#	.	.	.	#	#	#	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	#	#
29	.	.	.	.	.	#	.	.	.	.	.	.	#	.	#	.	.	.	.	.	X	o	.	.	#	.	.	.	#	.	.	.	.	.	.	#	.	.	.	#	.	.	.	.	.	.	.	.	.	.
30	.	#	.	.	.	.	.	.	#	.	.	8	.	.	B	.	.	#	.	#	.	.	.	.	.	#	.	i	#	.	.	.	.	.	.	.	.	.	#	.	.	.	.	.	#	.	.	.	.	.
31	.	.	z	.	.	.	.	#	.	#	.	.	.	#	.	.	.	.	b	X	.	.	.	.	.	.	#	.	.	.	A	.	.	.	.	#	.	#	.	.	.	.	.	.	.	.	.	.	.	.
32	j	.	.	.	.	.	.	.	#	z	.	#	.	X	.	.	.	#	.	.	C	.	.	.	.	.	.	.	i	.	#	.	.	.	.	.	.	5	.	.	.	.	#	.	.	.	.	.	#	.
33	.	b	.	.	.	#	6	#	.	.	.	.	.	.	.	.	#	.	#	.	.	.	.	.	.	.	.	.	.	.	U	.	#	.	.	.	.	.	#	.	.	.	.	.	.	.	.	.	.	.
34	.	.	#	.	.	.	.	.	.	#	#	.	.	.	#	.	.	.	X	.	.	.	.	.	.	.	.	.	.	#	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
35	.	.	.	6	.	.	#	.	.	.	#	.	.	.	.	.	.	.	.	.	#	.	.	.	.	.	#	#	.	.	.	.	.	.	.	.	.	a	.	.	.	.	.	.	.	.	.	.	.	.
36	.	#	.	.	6	.	#	.	#	.	.	.	.	c	.	.	#	.	.	.	.	.	.	#	.	.	5	.	.	.	.	.	.	#	.	.	1	.	.	.	.	.	#	.	.	.	.	.	.	.
37	#	4	.	.	.	#	.	.	.	.	.	#	.	.	.	.	.	#	.	.	#	.	.	.	.	5	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	#	.	.	.	#
38	.	.	.	#	.	.	.	.	.	.	k	.	.	.	.	.	.	.	H	1	l	.	.	.	#	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	#	.	.	.	.	.	.	.	.
39	2	.	#	#	.	.	.	.	.	.	.	.	.	.	.	.	#	.	C	#	.	#	.	.	#	.	i	.	.	.	.	.	.	#	.	.	.	.	.	.	#	.	#	.	.	.	u	.	.	.
40	.	.	#	.	.	.	.	.	.	.	.	#	.	a	.	#	.	#	2	.	.	#	.	.	.	.	.	.	.	.	.	.	#	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
41	.	#	.	.	#	z	.	.	.	.	H	.	#	.	.	.	.	.	1	.	.	8	.	.	.	.	.	#	.	.	.	.	.	.	.	.	#	.	#	.	.	.	.	u	.	.	.	.	.	#
42	.	.	.	.	.	.	.	.	.	.	.	j	.	#	.	b	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
43	3	.	#	.	.	.	.	.	.	.	#	.	.	.	.	.	.	.	.	.	.	#	.	.	.	.	.	.	.	.	.	#	.	.	.	.	a	.	.	.	#	.	.	.	.	.	.	.	.	.
44	.	.	#	4	.	#	.	.	.	#	.	.	.	.	.	.	.	#	.	#	a	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	#	.	.
45	.	.	M	.	#	.	.	.	.	.	.	.	.	.	.	.	.	.	.	j	.	.	.	.	.	1	.	.	.	.	.	.	.	.	.	.	5	.	.	.	.	.	.	.	.	.	.	.	.	.
46	#	.	.	.	.	.	.	#	.	#	.	.	.	.	.	.	#	.	.	.	.	.	.	.	#	.	.	.	#	.	.	#	.	.	.	.	.	.	.	.	.	.	.	.	u	.	.	.	.	.
47	.	.	4	.	.	3	.	.	.	#	.	.	.	.	.	.	.	i	.	.	.	.	.	.	.	.	.	.	#	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
48	z	3	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	2	.	.	.	.	.	#	.	#	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
49	.	.	.	.	.	.	.	.	#	.	8	.	.	.	.	#	.	.	.	.	.	.	.	.	.	.	.	.	.	2	.	C	#	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
